"Easy Catalog Images","Catalogue simple d'images"
"General","Général"
"Use category image, when thumbnail is not available","Utiliser la catégorie image, quand thumbnail n'est pas disponible"
"Background color","Couleur d'arrière plan"
"Color in RGB mode. Example:<br/> 255,255,255 - white<br/>0,0,0 - black","Couleur en RGB. Example:<br/> 255,255,255 - blanc<br/>0,0,0 - noir"
"Category page","Page catégorie"
"Enabled for default categories","Activé pour les catégories par défaut"
"Enabled for anchor categories","Activé pour les catégories ancrées"
"Number of categories to show","Nombre de catégories à montrer"
"Columns count","Décompte des colonnes"
"Show images","Montrer les images"
"Use image helper to resize images","Utiliser l'assistant d'image to changer la taille des images"
"Set Yes, to guarantee the equal sized images","Choisissez oui, pour garantir des images de taille égale"
"Image width","Largeur de l'image"
"Image height","Hauteur de l'image"
"Number of subcategories to show","Nombre de sous-catégories à montrer"
"Retina display support","Aide affichage Retina"
