"Easy Catalog Images","Gemakkelijke Catalogus Afbeeldingen"
"General","Algemeen"
"Use category image, when thumbnail is not available","Gebruik afbeelding categorie  wanneer de tumbnail niet verkrijgbaar is"
"Background color","Achtergrond kleur"
"Color in RGB mode. Example:<br/> 255,255,255 - white<br/>0,0,0 - black","Kleur in RGB modus.Voorbeeld :<br/> 255, 255, 255 — wit<br/>0, 0, 0 - zwart"
"Category page","Categorie pagina"
"Enabled for default categories","Mogelijk gemaakt voor standaard categorieën"
"Enabled for anchor categories","Mogelijk gemaak voor anker categorieën"
"Number of categories to show","Aantal categorieën om te laten zien"
"Columns count","Kolommen telling"
"Show images","Laat afbeeldingen zien"
"Use image helper to resize images","Gebruik afbeelding hulp om de grootte van de afbeelding aan te passen"
"Set Yes, to guarantee the equal sized images","Zet op ja,  om afbeeldingen van gelijke grootte te garanderen"
"Image width","Afbeelding Breedte"
"Image height","Afbeelding Hoogte"
"Number of subcategories to show","Aantal van subcategorieën om te laten zien"
